"","species","antibiotics","lincomycin","novobiocin","kanamycin","ampicillin","gentamicin","neomycin","streptomycin","chloramphenicol","rifampicin","polymyxin.b","erythromycin","bacitracin","penicillin","tetracycline","aztreonam","cefalotin","cefazolin","cefotaxime","fosfomycin","imipenem","linezolid","mezlocillin","moxifloxacin","nitrofurantoin","norfloxacin","nystatin","ofloxacin","oxacillin","penicillin.g","pipemidic.acid","ticarcillin","tunicamycin","actinomycin.d","sodium.dodecyl.sulfate","vancomycin","sodium.chloride","colistin","carbenicillin","ceftriaxone","clarithromycin","cefotaxime.sodium","tobramycin","spectinomycin","amikacin","nalidixic.acid","cycloheximide","trimethoprim","sulfamethoxazole","minocycline","cephradine","cephalexin","cefuroxime","cefoperazone","ceftazidime","oleandomycin","cephalothin","acetylspiramycin","ciprofloxacin","oxytetracycline","furazolidone","midecamycin","doxycycline","piperacillin","clindamycin","enrofloxacin","cefixime","meropenem","levofloxacin","amoxicillin","clavulanic.acid","cefoxitin","cefepime","co.trimoxazole","spiramycin.II","family","order","class","phylum","domain","NCBI.tax.ID","motility","gram.stain","growth","genus","oxygen.tolerance","PH.range","GC.content","Total.samples","soil.counts","aquatic.counts","plant.counts","optimum","n16","div","gc_percent","genome_components","chromosomes","total_seq_length","genes_nc","genes_coding","pseudogenes","total_genes"
"1","Abiotrophia defectiva","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Aerococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","592010.0",NA,NA,"37.0","Abiotrophia","microaerophile",NA,18.4358974358974,11.4871794871795,22.025641025641,31.4358974358974,3.94871794871795,1,4,4.41373163855277,46.5,1,1,2046826,63,1814,21,1898
"2","Abyssalbus ytuae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria","2926907.0",NA,NA,NA,"Abyssalbus",NA,NA,1,1,1,1,1,1,3,6.36514168294813,35,1,1,4365036,55,3614,11,3680
"3","Abyssicoccus albus","R","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","R","NR","NR","NR","NR","R","NR","NR","R","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","Staphylococcaceae","Caryophanales","Bacilli","Bacillota","Bacteria","1817405.0","no","positive","28.0","Abyssicoccus","aerobe","alkaliphile",328.5,1831,598,760,783,58,4,0.562335144618808,34,1,1,1745789,70,1705,24,1799
"4","Acetilactobacillus jinshanensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","1720083.0","no","positive","36.0","Acetilactobacillus","facultative anaerobe","acidophile",434,1550,1461,866,101,1,5,2.51943742456596,39.5,1,1,1616430,88,1503,11,1602
"5","Acetivibrio clariflavus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","720554.0","no","variable","56.25","Acetivibrio","anaerobe",NA,268,811,1398,956,550,1,6,0.450561208866305,35.5,1,1,4897678,83,4006,117,4206
"6","Acetivibrio saccincola","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1677857.0","no","positive","57.5","Acetivibrio","anaerobe","alkaliphile",186,3058,991,1918,79,1,3,0,34.5,1,1,3604547,64,3143,98,3305
"7","Acetivibrio thermocellus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1094188.0",NA,NA,"56.666666666666664","Acetivibrio","anaerobe",NA,183.333333333333,1022.66666666667,243.333333333333,4,313,1,4,25.799457037747,38.8,1,1,3627924.6,72,3046,49.2,3167.2
"8","Acetoanaerobium sticklandii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Peptostreptococcaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1511.0",NA,NA,"36.0","Acetoanaerobium","anaerobe",NA,99,1155,211,249,576,1,6,104.204962328713,33,1,1,2715461,81,2508,22,2611
"9","Acetobacter aceti","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","435.0",NA,NA,"27.5","Acetobacter","aerobe",NA,696.6,672.8,44,51.2,19.6,1,3.33333333333333,2.8988837470548,56.6666666666667,3.66666666666667,3.66666666666667,3795351.66666667,64.6666666666667,3315,135.666666666667,3515.33333333333
"10","Acetobacter orientalis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","146474.0",NA,NA,"30.0","Acetobacter",NA,NA,854,99,338,1584,313,1,5,0,52.5,2,2,3214967,75,2735,189,2999
"11","Acetobacter oryzifermentans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","1633874.0",NA,NA,NA,"Acetobacter",NA,NA,856,337,422,577,1001,1,5,0,52.25,2.5,2.5,3116926,75.5,2852.5,57.5,2985.5
"12","Acetobacter oryzoeni","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","2500548.0",NA,NA,NA,"Acetobacter",NA,NA,879,337,422,577,1001,1,5,0.500402423538188,53,4,4,3153180,73,2807,76,2956
"13","Acetobacter pasteurianus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","940265.0",NA,NA,"27.5","Acetobacter",NA,NA,336.260869565217,266.478260869565,166.782608695652,263.086956521739,210.04347826087,1,4.85714285714286,0.142972121010911,52.8214285714286,5.92857142857143,5.92857142857143,3239948.14285714,75.3571428571429,2875.42857142857,99.9285714285714,3050.71428571429
"14","Acetobacter persici","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","1236503.0",NA,NA,NA,"Acetobacter",NA,NA,1065.5,649,463,464,352,1,4,0,57,2,2,3756676,78,3162,216,3456
