,genus,species,motility,gram stain,range,optimum
0,Acidisarcina,Acidisarcina polymorpha,,,,
1,Acidobacterium,Acidobacterium ailaaui,no,negative,40,40
2,Acidobacterium,Acidobacterium capsulatum,,,,
3,Acidobacterium,Acidobacterium sp.,,,,
4,Acidobacterium,Acidobacterium sp.,,,,
5,Acidobacterium,Acidobacterium sp.,,,,
6,Acidobacterium,Acidobacterium capsulatum,,,30,
7,Alloacidobacterium,Alloacidobacterium dinghuense,,,,
8,Edaphobacter,Edaphobacter bradus,"['no', 'no']","['negative', 'negative']",28,28
9,Edaphobacter,Edaphobacter lichenicola,no,negative,7-37,20-30
10,Edaphobacter,Edaphobacter acidisoli,no,negative,10-42,28
11,Edaphobacter,Edaphobacter dinghuensis,no,negative,28,28-33
12,Edaphobacter,Edaphobacter aggregans,no,negative,15-25,30
13,Edaphobacter,Edaphobacter modestus,,,25,30
14,Granulicella,Granulicella sibirica,no,negative,2-30,
15,Granulicella,Granulicella acidiphila,,,,
16,Granulicella,Granulicella cerasi,,,,
17,Granulicella,Granulicella tundricola,"['no', 'no']","['negative', 'negative']",4-28,21-24
18,Granulicella,Granulicella sapmiensis,no,negative,4-26,22.5
19,Granulicella,Granulicella mallensis,"['no', 'no']","['negative', 'negative']",4-28,24-27
20,Granulicella,Granulicella arctica,no,negative,4-28,22.5
21,Granulicella,Granulicella paludicola,no,negative,2.0-33.0,18.0-22.0
22,Granulicella,Granulicella aggregans,no,negative,2.0-33.0,18.0-22.0
23,Granulicella,Granulicella pectinivorans,no,negative,2.0-33.0,18.0-22.0
24,Granulicella,Granulicella rosea,no,negative,2.0-33.0,18.0-22.0
25,Occallatibacter,Occallatibacter savannae,yes,negative,28,29-40
26,Occallatibacter,Occallatibacter riparius,,,,
27,Occallatibacter,Occallatibacter riparius,yes,negative,28,26-37
28,Terriglobus,Terriglobus sp.,,,,
29,Terriglobus,Terriglobus albidus,,,,
30,Terriglobus,Terriglobus aquaticus,['no'],"['negative', 'negative']",25,25
31,Terriglobus,Terriglobus tenax,,,,
32,Terriglobus,Terriglobus sp.,,,,
33,Terriglobus,Terriglobus saanensis,no,negative,4.0,25.0
34,Terriglobus,Terriglobus roseus,no,,12-23,
35,Paludibaculum,Paludibaculum fermentans,,,,
36,Chloracidobacterium,Chloracidobacterium thermophilum,,,,
37,Thermotomaculum,Thermotomaculum hydrothermale,,,55,
38,Luteitalea,Luteitalea pratensis,no,negative,28,20-30
39,Aquifex,Aquifex sp.,,,,
40,Aquifex,Aquifex pyrophilus,,,85,
41,Hydrogenobacter,Hydrogenobacter halophilus,,,,
42,Hydrogenobacter,Hydrogenobacter sp.,,,,
43,Hydrogenobacter,Hydrogenobacter subterraneus,,,,
44,Hydrogenobacter,Hydrogenobacter thermophilus,no,negative,70,70-75
45,Hydrogenobacter,Hydrogenobacter hydrogenophilus,,,75,
46,Hydrogenobaculum,Hydrogenobaculum acidophilum,,,65,
47,Thermocrinis,Thermocrinis jamiesonii,,,80,
48,Thermocrinis,Thermocrinis minervae,yes,negative,65-85,75
49,Thermocrinis,Thermocrinis albus,,,80,
50,Thermocrinis,Thermocrinis ruber,,,,
51,Thermocrinis,Thermocrinis albus,,,,
52,Thermosulfidibacter,Thermosulfidibacter takaii,yes,negative,70,70
53,Persephonella,Persephonella atlantica,,,,
54,Persephonella,Persephonella hydrogeniphila,,,70,
55,Persephonella,Persephonella marina,yes,negative,70,73
56,Sulfurihydrogenibium,Sulfurihydrogenibium yellowstonense,,,,
57,Sulfurihydrogenibium,Sulfurihydrogenibium kristjanssonii,yes,negative,40-73,68
58,Sulfurihydrogenibium,Sulfurihydrogenibium rodmanii,yes,negative,55-80,75
59,Sulfurihydrogenibium,Sulfurihydrogenibium azorense,yes,negative,50-73,68
60,Sulfurihydrogenibium,Sulfurihydrogenibium subterraneum,,,62,
61,Desulfurobacterium,Desulfurobacterium crinifex,,,,
62,Desulfurobacterium,Desulfurobacterium thermolithotrophum,,,,
63,Desulfurobacterium,Desulfurobacterium indicum,yes,negative,65,65
64,Desulfurobacterium,Desulfurobacterium pacificum,,,75,
65,Desulfurobacterium,Desulfurobacterium atlanticum,,,,
66,Desulfurobacterium,Desulfurobacterium crinifex,,,,
67,Desulfurobacterium,Desulfurobacterium thermolithotrophum,,,,
68,Thermovibrio,Thermovibrio guaymasensis,,,75,
69,Thermovibrio,Thermovibrio ammonificans,yes,negative,75,75
70,Thermovibrio,Thermovibrio ruber,,,75,
71,Atribacter,Atribacter laminatus,,,,
72,Caldisericum,Caldisericum exile,yes,negative,55-70,65
73,Caldithrix,Caldithrix palaeochoryensis,yes,,40-65,60
74,Caldithrix,Caldithrix abyssi,,,,
75,Desulfurispirillum,Desulfurispirillum indicum,yes,negative,28,28.0
76,Desulfurispirillum,Desulfurispirillum alkaliphilum,,,30,
77,Calditerrivibrio,Calditerrivibrio nitroreducens,yes,negative,30-65,55
78,Deferribacter,Deferribacter autotrophicus,yes,negative,25-75,60
79,Deferribacter,Deferribacter abyssi,,,60,
80,Deferribacter,Deferribacter abyssi,,,,
81,Deferribacter,Deferribacter thermophilus,,,,
82,Deferribacter,Deferribacter desulfuricans,no,negative,62,60.0-65.0
83,Flexistipes,Flexistipes sinusarabici,,,,
84,Denitrovibrio,Denitrovibrio acetiphilus,,,,
85,Geovibrio,Geovibrio ferrireducens,,,,
86,Geovibrio,Geovibrio thiophilus,,,,
87,Mucispirillum,Mucispirillum schaedleri,,,,
88,Mucispirillum,Mucispirillum schaedleri,yes,negative,,
89,Dictyoglomus,Dictyoglomus sp.,,,,
90,Dictyoglomus,Dictyoglomus turgidum,,negative,80,72
91,Dictyoglomus,Dictyoglomus thermophilum,no,negative,70,73-78
92,Elusimicrobium,Elusimicrobium minutum,,,,
93,Endomicrobium,Endomicrobium proavitum,,,30,
94,Salinibacter,Salinibacter altiplanensis,,,,
95,Salinibacter,Salinibacter sp.,,,,
96,Salinibacter,Salinibacter ruber,,,37,
97,Rhodothermus,Rhodothermus bifroesti,,,,
98,Rhodothermus,Rhodothermus marinus,,,,
99,Rhodothermus,Rhodothermus marinus,,,,
100,Rhodothermus,Rhodothermus marinus,,,,
101,Rhodothermus,Rhodothermus sp.,,,,
102,Rhodothermus,Rhodothermus sp.,,,70,
103,Rhodothermus,Rhodothermus profundi,no,negative,70,70
104,Rhodothermus,Rhodothermus marinus,,,70,
105,Rhodothermus,Rhodothermus marinus,,,,
106,Rhodothermus,Rhodothermus marinus,,,,
107,Bacteroides,Bacteroides sp.,,,,
108,Bacteroides,Bacteroides sp.,,,,
109,Bacteroides,Bacteroides uniformis,,,,
110,Bacteroides,Bacteroides cellulosilyticus,,,,
111,Bacteroides,Bacteroides pyogenes,,,,
112,Bacteroides,Bacteroides cellulosilyticus,,,,
113,Bacteroides,Bacteroides pyogenes,,,,
114,Bacteroides,Bacteroides ovatus,,,,
115,Bacteroides,Bacteroides pyogenes,,,,
116,Bacteroides,Bacteroides cellulosilyticus,,,,
117,Bacteroides,Bacteroides fragilis,,,,
118,Bacteroides,Bacteroides finegoldii,,,,
119,Bacteroides,Bacteroides sp.,,,,
120,Bacteroides,Bacteroides uniformis,,,,
121,Bacteroides,Bacteroides fragilis,,,,
122,Bacteroides,Bacteroides xylanisolvens,,,,
123,Bacteroides,Bacteroides thetaiotaomicron,,,,
124,Bacteroides,Bacteroides stercoris,,,,
125,Bacteroides,Bacteroides uniformis,,,,
126,Bacteroides,Bacteroides ovatus,,,,
127,Bacteroides,Bacteroides ovatus,,,,
128,Bacteroides,Bacteroides ovatus,,,,
129,Bacteroides,Bacteroides thetaiotaomicron,,,,
130,Bacteroides,Bacteroides ovatus,,,,
131,Bacteroides,Bacteroides thetaiotaomicron,,,,
132,Bacteroides,Bacteroides fragilis,,,,
133,Bacteroides,Bacteroides fragilis,,,,
134,Bacteroides,Bacteroides fragilis,,,,
135,Bacteroides,Bacteroides sp.,,,,
136,Bacteroides,Bacteroides fragilis,,,,
137,Bacteroides,Bacteroides fragilis,,,,
138,Bacteroides,Bacteroides uniformis,,,,
139,Bacteroides,Bacteroides ovatus,,,,
140,Bacteroides,Bacteroides ovatus,,,,
141,Bacteroides,Bacteroides fragilis,,,,
142,Bacteroides,Bacteroides thetaiotaomicron,,,,
143,Bacteroides,Bacteroides fragilis,,,,
144,Bacteroides,Bacteroides uniformis,,,,
145,Bacteroides,Bacteroides sp.,,,,
146,Bacteroides,Bacteroides zoogleoformans,,,37,
147,Bacteroides,Bacteroides caccae,,,,
148,Bacteroides,Bacteroides caccae,,,,
149,Bacteroides,Bacteroides gallinaceus,no,negative,,
150,Bacteroides,Bacteroides caecicola,no,negative,20-45,30-37
151,Bacteroides,Bacteroides reticulotermitis,,,,
152,Bacteroides,Bacteroides nordii,,,37,
153,Bacteroides,Bacteroides fragilis,,,,
154,Bacteroides,Bacteroides fragilis,,,,
155,Bacteroides,Bacteroides fragilis,,,,
156,Bacteroides,Bacteroides fragilis,,,,
157,Bacteroides,Bacteroides fragilis,,,,
158,Bacteroides,Bacteroides fragilis,,,,
159,Bacteroides,Bacteroides fragilis,,,,
160,Bacteroides,Bacteroides ovatus,,,,
161,Bacteroides,Bacteroides fragilis,,,37,
162,Bacteroides,Bacteroides reticulotermitis,no,negative,37,37
163,Bacteroides,Bacteroides cellulolyticus,,,,
164,Bacteroides,Bacteroides caecimuris,,['negative'],37,
165,Bacteroides,Bacteroides stercorirosoris,no,negative,37,37
166,Bacteroides,Bacteroides xylanisolvens,,,,
167,Bacteroides,Bacteroides acidifaciens,,,,
168,Bacteroides,Bacteroides neonati,,,,
169,Bacteroides,Bacteroides luti,,,37,
170,Bacteroides,Bacteroides faecichinchillae,no,negative,37,37
171,Bacteroides,Bacteroides rodentium,,,37,
172,Bacteroides,Bacteroides heparinolyticus,,,37,
173,Bacteroides,Bacteroides faecis,"['no', 'no']","['negative', 'negative']",37,37
174,Bacteroides,Bacteroides oleiciplenus,no,negative,37,37
175,Bacteroides,Bacteroides fluxus,no,negative,37,37
176,Bacteroides,Bacteroides clarus,no,negative,37,37
177,Bacteroides,Bacteroides xylanisolvens,"['no', 'no']","['negative', 'negative', 'negative']",37,38
178,Bacteroides,Bacteroides graminisolvens,no,negative,30,33
179,Bacteroides,Bacteroides cellulosilyticus,"['no', 'no']","['negative', 'negative']",37,37
180,Bacteroides,Bacteroides propionicifaciens,no,negative,30,30
181,Bacteroides,Bacteroides propionicifaciens,,,,
182,Bacteroides,Bacteroides salyersiae,,,37,
183,Bacteroides,Bacteroides stercoris,,,37,
184,Bacteroides,Bacteroides caccae,,['negative'],37,
185,Bacteroides,Bacteroides gallinarum,,,37,
186,Bacteroides,Bacteroides coprosuis,no,negative,37,37
187,Bacteroides,Bacteroides finegoldii,no,negative,37,37
188,Bacteroides,Bacteroides intestinalis,no,negative,37,37
189,Bacteroides,Bacteroides acidifaciens,,,37,
190,Bacteroides,Bacteroides uniformis,,,,
191,Bacteroides,Bacteroides uniformis,['no'],"['negative', 'negative']",37,
192,Bacteroides,Bacteroides thetaiotaomicron,,,,
193,Bacteroides,Bacteroides thetaiotaomicron,,,37,
194,Bacteroides,Bacteroides sp.,,,,
195,Bacteroides,Bacteroides pyogenes,,,37,
196,Bacteroides,Bacteroides pyogenes,,,37,
