GENUS,PHYLUM,ORDER
Acidisarcina,Acidobacteria,Acidobacteriales
Acidobacterium,Acidobacteria,Acidobacteriales
Alloacidobacterium,Acidobacteria,Acidobacteriales
Edaphobacter,Acidobacteria,Acidobacteriales
Granulicella,Acidobacteria,Acidobacteriales
Occallatibacter,Acidobacteria,Acidobacteriales
Terriglobus,Acidobacteria,Acidobacteriales
Paludibaculum,Acidobacteria,Bryobacterales
Chloracidobacterium,Acidobacteria,Chloracidobacterium
Sulfidibacter,Acidobacteria,Acanthopleuribacterales
Thermotomaculum,Acidobacteria,Thermotomaculales
Luteitalea,Acidobacteria,Vicinamibacterales
Aquifex,Aquificae,Aquificales
Hydrogenobacter,Aquificae,Aquificales
Hydrogenobaculum,Aquificae,Aquificales
Thermocrinis,Aquificae,Aquificales
Thermosulfidibacter,Aquificae,Aquificales
Persephonella,Aquificae,Aquificales
Sulfurihydrogenibium,Aquificae,Aquificales
Desulfurobacterium,Aquificae,Desulfurobacteriales
Thermovibrio,Aquificae,Desulfurobacteriales
Atribacter,Atribacterota,Atribacterales
Caldisericum,Caldiserica,Caldisericales
Caldithrix,Calditrichaeota,Calditrichales
Desulfurispirillum,Chrysiogenetes,Chrysiogenales
Calditerrivibrio,Deferribacteres,Deferribacterales
Deferribacter,Deferribacteres,Deferribacterales
Flexistipes,Deferribacteres,Deferribacterales
Denitrovibrio,Deferribacteres,Deferribacterales
Geovibrio,Deferribacteres,Deferribacterales
Mucispirillum,Deferribacteres,Deferribacterales
Dictyoglomus,Dictyoglomi,Dictyoglomales
Elusimicrobium,Elusimicrobia,Elusimicrobiales
Endomicrobium,Elusimicrobia,Endomicrobiales
Cyclonatronum,,
Salinibacter,Bacteroidota,Salinibacter
Rhodothermus,Bacteroidota,Rhodothermus
Bacteroides,Bacteroidota,Bacteroidales
Phocaeicola,Bacteroidota,Bacteroidales
Barnesiella,Bacteroidota,Bacteroidales
Coprobacter,Bacteroidota,Bacteroidales
Dysgonomonas,Bacteroidota,Bacteroidales
Petrimonas,Bacteroidota,Bacteroidales
Proteiniphilum,Bacteroidota,Bacteroidales
Duncaniella,Bacteroidota,Bacteroidales
Muribaculum,Bacteroidota,Bacteroidales
Sodaliphilus,Bacteroidota,Bacteroidales
Butyricimonas,Bacteroidota,Bacteroidales
Odoribacter,Bacteroidota,Bacteroidales
Paludibacter,Bacteroidota,Bacteroidales
Microbacter,Bacteroidota,Bacteroidales
Porphyromonas,Bacteroidota,Bacteroidales
Paraprevotella,Bacteroidota,Bacteroidales
Prevotella,Bacteroidota,Bacteroidales
Pseudoprevotella,Bacteroidota,Bacteroidales
Alistipes,Bacteroidota,Bacteroidales
Salinivirga,Bacteroidota,Bacteroidales
Parabacteroides,Bacteroidota,Bacteroidales
Tannerella,Bacteroidota,Bacteroidales
Tenuifilum,Bacteroidota,Bacteroidales
Labilibaculum,Bacteroidota,Marinilabiliales
Alkaliflexus,Bacteroidota,Marinilabiliales
Alkalitalea,Bacteroidota,Marinilabiliales
Draconibacterium,Bacteroidota,Marinilabiliales
Maribellus,Bacteroidota,Marinilabiliales
Arachidicoccus,Bacteroidota,Chitinophagales
Chitinophaga,Bacteroidota,Chitinophagales
Ferruginibacter,Bacteroidota,Chitinophagales
Filimonas,Bacteroidota,Chitinophagales
Flavihumibacter,Bacteroidota,Chitinophagales
Flavisolibacter,Bacteroidota,Chitinophagales
Lacibacter,Bacteroidota,Chitinophagales
Niabella,Bacteroidota,Chitinophagales
Niastella,Bacteroidota,Chitinophagales
Panacibacter,Bacteroidota,Chitinophagales
Paraflavitalea,Bacteroidota,Chitinophagales
Phnomibacter,Bacteroidota,Chitinophagales
Pseudobacter,Bacteroidota,Chitinophagales
Pseudocnuella,Bacteroidota,Chitinophagales
Sediminibacterium,Bacteroidota,Chitinophagales
Bernardetia,Bacteroidota,Cytophagales
Algoriphagus,Bacteroidota,Cytophagales
Belliella,Bacteroidota,Cytophagales
Cyclobacterium,Bacteroidota,Cytophagales
Echinicola,Bacteroidota,Cytophagales
Mongoliitalea,Bacteroidota,Cytophagales
Aquirufa,Bacteroidota,Cytophagales
Cytophaga,Bacteroidota,Cytophagales
Rhodocytophaga,Bacteroidota,Cytophagales
Spirosoma,Bacteroidota,Cytophagales
Tellurirhabdus,Bacteroidota,Cytophagales
Flammeovirga,Bacteroidota,Cytophagales
Chryseolinea,Bacteroidota,Cytophagales
Fulvivirga,Bacteroidota,Cytophagales
Adhaeribacter,Bacteroidota,Cytophagales
Hymenobacter,Bacteroidota,Cytophagales
Nibribacter,Bacteroidota,Cytophagales
Pontibacter,Bacteroidota,Cytophagales
Rufibacter,Bacteroidota,Cytophagales
Mangrovivirga,Bacteroidota,Cytophagales
Marivirga,Bacteroidota,Cytophagales
Persicobacter,Bacteroidota,Cytophagales
Reichenbachiella,Bacteroidota,Cytophagales
Arcticibacterium,Bacteroidota,Cytophagales
Dyadobacter,Bacteroidota,Cytophagales
Emticicia,Bacteroidota,Cytophagales
Fibrella,Bacteroidota,Cytophagales
Larkinella,Bacteroidota,Cytophagales
Leadbetterella,Bacteroidota,Cytophagales
Marinilongibacter,Bacteroidota,Cytophagales
Runella,Bacteroidota,Cytophagales
Blattabacterium,Bacteroidota,Flavobacteriales
Crocinitomix,Bacteroidota,Flavobacteriales
Fluviicola,Bacteroidota,Flavobacteriales
Abyssalbus,Bacteroidota,Flavobacteriales
Actibacter,Bacteroidota,Flavobacteriales
Aegicerativicinus,Bacteroidota,Flavobacteriales
Aequorivita,Bacteroidota,Flavobacteriales
Aggregatimonas,Bacteroidota,Flavobacteriales
Algibacter,Bacteroidota,Flavobacteriales
Constantimarinum,Bacteroidota,Flavobacteriales
Amniculibacterium,Bacteroidota,Flavobacteriales
Antarcticibacterium,Bacteroidota,Flavobacteriales
Aquimarina,Bacteroidota,Flavobacteriales
Arenibacter,Bacteroidota,Flavobacteriales
Aureibaculum,Bacteroidota,Flavobacteriales
Bizionia,Bacteroidota,Flavobacteriales
Capnocytophaga,Bacteroidota,Flavobacteriales
Cellulophaga,Bacteroidota,Flavobacteriales
Changchengzhania,Bacteroidota,Flavobacteriales
Costertonia,Bacteroidota,Flavobacteriales
Croceibacter,Bacteroidota,Flavobacteriales
Dokdonia,Bacteroidota,Flavobacteriales
Euzebyella,Bacteroidota,Flavobacteriales
Flagellimonas,Bacteroidota,Flavobacteriales
Flavivirga,Bacteroidota,Flavobacteriales
Flavobacterium,Bacteroidota,Flavobacteriales
Formosa,Bacteroidota,Flavobacteriales
Galbibacter,Bacteroidota,Flavobacteriales
Gramella,Bacteroidota,Flavobacteriales
Kordia,Bacteroidota,Flavobacteriales
Lacinutrix,Bacteroidota,Flavobacteriales
Leeuwenhoekiella,Bacteroidota,Flavobacteriales
Lutibacter,Bacteroidota,Flavobacteriales
Maribacter,Bacteroidota,Flavobacteriales
Mariniflexile,Bacteroidota,Flavobacteriales
Marixanthomonas,Bacteroidota,Flavobacteriales
Mesoflavibacter,Bacteroidota,Flavobacteriales
Muricauda,Bacteroidota,Flavobacteriales
Muriicola,Bacteroidota,Flavobacteriales
Myroides,Bacteroidota,Flavobacteriales
Nonlabens,Bacteroidota,Flavobacteriales
Oceanihabitans,Bacteroidota,Flavobacteriales
Olleya,Bacteroidota,Flavobacteriales
Polaribacter,Bacteroidota,Flavobacteriales
Psychroflexus,Bacteroidota,Flavobacteriales
Psychroserpens,Bacteroidota,Flavobacteriales
Pukyongia,Bacteroidota,Flavobacteriales
Rasiella,Bacteroidota,Flavobacteriales
Robiginitalea,Bacteroidota,Flavobacteriales
Sabulilitoribacter,Bacteroidota,Flavobacteriales
Salegentibacter,Bacteroidota,Flavobacteriales
Salinimicrobium,Bacteroidota,Flavobacteriales
Sediminicola,Bacteroidota,Flavobacteriales
Seonamhaeicola,Bacteroidota,Flavobacteriales
Siansivirga,Bacteroidota,Flavobacteriales
Sinomicrobium,Bacteroidota,Flavobacteriales
Tamlana,Bacteroidota,Flavobacteriales
Tenacibaculum,Bacteroidota,Flavobacteriales
Urechidicola,Bacteroidota,Flavobacteriales
Wenyingzhuangia,Bacteroidota,Flavobacteriales
Winogradskyella,Bacteroidota,Flavobacteriales
Zhouia,Bacteroidota,Flavobacteriales
Zobellia,Bacteroidota,Flavobacteriales
Zunongwangia,Bacteroidota,Flavobacteriales
Ichthyobacterium,Bacteroidota,Flavobacteriales
Parvicella,Bacteroidota,Flavobacteriales
Croceimicrobium,Bacteroidota,Flavobacteriales
Owenweeksia,Bacteroidota,Flavobacteriales
Apibacter,Bacteroidota,Flavobacteriales
Bergeyella,Bacteroidota,Flavobacteriales
Chryseobacterium,Bacteroidota,Flavobacteriales
Epilithonimonas,Bacteroidota,Flavobacteriales
Kaistella,Bacteroidota,Flavobacteriales
Cloacibacterium,Bacteroidota,Flavobacteriales
Cruoricaptor,Bacteroidota,Flavobacteriales
