parent,node,PHYLUM,ORDER,GENUS
Bacteria,Acidobacteria,Acidobacteria,,
Acidobacteria,Acidobacteriales,,Acidobacteriales,
Acidobacteriales,Acidisarcina,,,Acidisarcina
Acidobacteriales,Acidobacterium,,,Acidobacterium
Acidobacteriales,Alloacidobacterium,,,Alloacidobacterium
Acidobacteriales,Edaphobacter,,,Edaphobacter
Acidobacteriales,Granulicella,,,Granulicella
Acidobacteriales,Occallatibacter,,,Occallatibacter
Acidobacteriales,Terriglobus,,,Terriglobus
Acidobacteria,Bryobacterales,,Bryobacterales,
Bryobacterales,Paludibaculum,,,Paludibaculum
Acidobacteria,Chloracidobacterium,,Chloracidobacterium,
Acidobacteria,Acanthopleuribacterales,,Acanthopleuribacterales,
Acanthopleuribacterales,Sulfidibacter,,,Sulfidibacter
Acidobacteria,Thermotomaculales,,Thermotomaculales,
Thermotomaculales,Thermotomaculum,,,Thermotomaculum
Acidobacteria,Vicinamibacterales,,Vicinamibacterales,
Vicinamibacterales,Luteitalea,,,Luteitalea
Bacteria,Aquificae,Aquificae,,
Aquificae,Aquificales,,Aquificales,
Aquificales,Aquifex,,,Aquifex
Aquificales,Hydrogenobacter,,,Hydrogenobacter
Aquificales,Hydrogenobaculum,,,Hydrogenobaculum
Aquificales,Thermocrinis,,,Thermocrinis
Aquificales,Thermosulfidibacter,,,Thermosulfidibacter
Aquificales,Persephonella,,,Persephonella
Aquificales,Sulfurihydrogenibium,,,Sulfurihydrogenibium
Aquificae,Desulfurobacteriales,,Desulfurobacteriales,
Desulfurobacteriales,Desulfurobacterium,,,Desulfurobacterium
Desulfurobacteriales,Thermovibrio,,,Thermovibrio
Bacteria,Atribacterota,Atribacterota,,
Atribacterota,Atribacterales,,Atribacterales,
Atribacterales,Atribacter,,,Atribacter
Bacteria,Caldiserica,Caldiserica,,
Caldiserica,Caldisericales,,Caldisericales,
Caldisericales,Caldisericum,,,Caldisericum
Bacteria,Calditrichaeota,Calditrichaeota,,
Calditrichaeota,Calditrichales,,Calditrichales,
Calditrichales,Caldithrix,,,Caldithrix
Bacteria,Chrysiogenetes,Chrysiogenetes,,
Chrysiogenetes,Chrysiogenales,,Chrysiogenales,
Chrysiogenales,Desulfurispirillum,,,Desulfurispirillum
Bacteria,Deferribacteres,Deferribacteres,,
Deferribacteres,Deferribacterales,,Deferribacterales,
Deferribacterales,Calditerrivibrio,,,Calditerrivibrio
Deferribacterales,Deferribacter,,,Deferribacter
Deferribacterales,Flexistipes,,,Flexistipes
Deferribacterales,Denitrovibrio,,,Denitrovibrio
Deferribacterales,Geovibrio,,,Geovibrio
Deferribacterales,Mucispirillum,,,Mucispirillum
Bacteria,Dictyoglomi,Dictyoglomi,,
Dictyoglomi,Dictyoglomales,,Dictyoglomales,
Dictyoglomales,Dictyoglomus,,,Dictyoglomus
Bacteria,Elusimicrobia,Elusimicrobia,,
Elusimicrobia,Elusimicrobiales,,Elusimicrobiales,
Elusimicrobiales,Elusimicrobium,,,Elusimicrobium
Elusimicrobia,Endomicrobiales,,Endomicrobiales,
Endomicrobiales,Endomicrobium,,,Endomicrobium
Bacteria,,,,
,,,,
,Cyclonatronum,,,Cyclonatronum
Bacteria,Bacteroidota,Bacteroidota,,
Bacteroidota,Salinibacter,,Salinibacter,
Bacteroidota,Rhodothermus,,Rhodothermus,
Bacteroidota,Bacteroidales,,Bacteroidales,
Bacteroidales,Bacteroides,,,Bacteroides
Bacteroidales,Phocaeicola,,,Phocaeicola
Bacteroidales,Barnesiella,,,Barnesiella
Bacteroidales,Coprobacter,,,Coprobacter
Bacteroidales,Dysgonomonas,,,Dysgonomonas
Bacteroidales,Petrimonas,,,Petrimonas
Bacteroidales,Proteiniphilum,,,Proteiniphilum
Bacteroidales,Duncaniella,,,Duncaniella
Bacteroidales,Muribaculum,,,Muribaculum
Bacteroidales,Sodaliphilus,,,Sodaliphilus
Bacteroidales,Butyricimonas,,,Butyricimonas
Bacteroidales,Odoribacter,,,Odoribacter
Bacteroidales,Paludibacter,,,Paludibacter
Bacteroidales,Microbacter,,,Microbacter
Bacteroidales,Porphyromonas,,,Porphyromonas
Bacteroidales,Paraprevotella,,,Paraprevotella
Bacteroidales,Prevotella,,,Prevotella
Bacteroidales,Pseudoprevotella,,,Pseudoprevotella
Bacteroidales,Alistipes,,,Alistipes
Bacteroidales,Salinivirga,,,Salinivirga
Bacteroidales,Parabacteroides,,,Parabacteroides
Bacteroidales,Tannerella,,,Tannerella
Bacteroidales,Tenuifilum,,,Tenuifilum
Bacteroidota,Marinilabiliales,,Marinilabiliales,
Marinilabiliales,Labilibaculum,,,Labilibaculum
Marinilabiliales,Alkaliflexus,,,Alkaliflexus
Marinilabiliales,Alkalitalea,,,Alkalitalea
Marinilabiliales,Draconibacterium,,,Draconibacterium
Marinilabiliales,Maribellus,,,Maribellus
Bacteroidota,Chitinophagales,,Chitinophagales,
Chitinophagales,Arachidicoccus,,,Arachidicoccus
Chitinophagales,Chitinophaga,,,Chitinophaga
Chitinophagales,Ferruginibacter,,,Ferruginibacter
Chitinophagales,Filimonas,,,Filimonas
Chitinophagales,Flavihumibacter,,,Flavihumibacter
Chitinophagales,Flavisolibacter,,,Flavisolibacter
Chitinophagales,Lacibacter,,,Lacibacter
Chitinophagales,Niabella,,,Niabella
Chitinophagales,Niastella,,,Niastella
Chitinophagales,Panacibacter,,,Panacibacter
Chitinophagales,Paraflavitalea,,,Paraflavitalea
Chitinophagales,Phnomibacter,,,Phnomibacter
Chitinophagales,Pseudobacter,,,Pseudobacter
Chitinophagales,Pseudocnuella,,,Pseudocnuella
Chitinophagales,Sediminibacterium,,,Sediminibacterium
Bacteroidota,Cytophagales,,Cytophagales,
Cytophagales,Bernardetia,,,Bernardetia
Cytophagales,Algoriphagus,,,Algoriphagus
Cytophagales,Belliella,,,Belliella
Cytophagales,Cyclobacterium,,,Cyclobacterium
Cytophagales,Echinicola,,,Echinicola
Cytophagales,Mongoliitalea,,,Mongoliitalea
Cytophagales,Aquirufa,,,Aquirufa
Cytophagales,Cytophaga,,,Cytophaga
Cytophagales,Rhodocytophaga,,,Rhodocytophaga
Cytophagales,Spirosoma,,,Spirosoma
Cytophagales,Tellurirhabdus,,,Tellurirhabdus
Cytophagales,Flammeovirga,,,Flammeovirga
Cytophagales,Chryseolinea,,,Chryseolinea
Cytophagales,Fulvivirga,,,Fulvivirga
Cytophagales,Adhaeribacter,,,Adhaeribacter
Cytophagales,Hymenobacter,,,Hymenobacter
Cytophagales,Nibribacter,,,Nibribacter
Cytophagales,Pontibacter,,,Pontibacter
Cytophagales,Rufibacter,,,Rufibacter
Cytophagales,Mangrovivirga,,,Mangrovivirga
Cytophagales,Marivirga,,,Marivirga
Cytophagales,Persicobacter,,,Persicobacter
Cytophagales,Reichenbachiella,,,Reichenbachiella
Cytophagales,Arcticibacterium,,,Arcticibacterium
Cytophagales,Dyadobacter,,,Dyadobacter
Cytophagales,Emticicia,,,Emticicia
Cytophagales,Fibrella,,,Fibrella
Cytophagales,Larkinella,,,Larkinella
