id,gcf,number_16s,mean,sd,min,max,total_div
1,GCF_003330725.1,1,0.0,0.0,0.0,0.0,0.0
2,GCF_000022565.1,1,0.0,0.0,0.0,0.0,0.0
3,GCF_014274465.1,1,0.0,0.0,0.0,0.0,0.0
4,GCF_010093025.1,1,0.0,0.0,0.0,0.0,0.0
5,GCF_014274685.1,1,0.0,0.0,0.0,0.0,0.0
6,GCF_025264645.1,1,0.0,0.0,0.0,0.0,0.0
7,GCF_025264665.1,1,0.0,0.0,0.0,0.0,0.0
8,GCF_000178955.2,1,0.0,0.0,0.0,0.0,0.0
9,GCF_000178975.2,1,0.0,0.0,0.0,0.0,0.0
10,GCF_009914315.1,1,0.0,0.0,0.0,0.0,0.0
11,GCF_014083945.1,1,0.0,0.0,0.0,0.0,0.0
12,GCF_025264625.1,1,0.0,0.0,0.0,0.0,0.0
13,GCF_000179915.2,1,0.0,0.0,0.0,0.0,0.0
14,GCF_008000815.1,1,0.0,0.0,0.0,0.0,0.0
15,GCF_000265425.1,2,0.0,,0.0,0.0,0.0
16,GCF_015277775.1,2,1.0,,1.0,1.0,0.693147180559945
17,GCF_000226295.1,1,0.0,0.0,0.0,0.0,0.0
18,GCF_018304665.1,1,0.0,0.0,0.0,0.0,0.0
19,GCF_018304685.1,1,0.0,0.0,0.0,0.0,0.0
20,GCF_018304765.1,1,0.0,0.0,0.0,0.0,0.0
21,GCF_018304745.1,1,0.0,0.0,0.0,0.0,0.0
22,GCF_018304805.1,1,0.0,0.0,0.0,0.0,0.0
23,GCF_018304785.1,1,0.0,0.0,0.0,0.0,0.0
24,GCF_018304705.1,1,0.0,0.0,0.0,0.0,0.0
25,GCF_018304825.1,1,0.0,0.0,0.0,0.0,0.0
26,GCF_018304725.1,1,0.0,0.0,0.0,0.0,0.0
27,GCF_017498545.1,3,2.0,1.0,1.0,3.0,1.90954250488444
28,GCF_016592575.1,2,0.0,,0.0,0.0,0.0
29,GCF_001618865.1,1,0.0,0.0,0.0,0.0,0.0
30,GCF_016865485.1,1,0.0,0.0,0.0,0.0,0.0
31,GCF_000008625.1,2,0.0,,0.0,0.0,0.0
32,GCF_000010785.1,1,0.0,0.0,0.0,0.0,0.0
33,GCF_000164905.1,1,0.0,0.0,0.0,0.0,0.0
34,GCF_000213785.1,2,1.0,,1.0,1.0,0.693147180559945
35,GCF_000215065.1,2,2.0,,2.0,2.0,1.38629436111989
36,GCF_000341855.1,2,4.0,,4.0,4.0,2.77258872223978
