#OTU ID	seq10_GCF_002285695	seq10_GCF_002688605	seq10_GCF_004804395	seq10_GCF_014792105	seq10_GCF_024112375	seq11_GCF_002219245	seq11_GCF_002688605	seq11_GCF_004804395	seq11_GCF_014792105	seq11_GCF_900637545	seq12_GCF_002219265	seq12_GCF_002688605	seq12_GCF_004804395	seq12_GCF_014792105	seq12_GCF_900637545	seq13_GCF_002219285	seq13_GCF_002688605	seq13_GCF_004804395	seq13_GCF_014792105	seq13_GCF_900637545	seq14_GCF_002240155	seq14_GCF_002688605	seq14_GCF_004804395	seq14_GCF_014792105	seq14_GCF_900637545	seq15_GCF_002287605	seq15_GCF_004804395	seq15_GCF_017743055	seq15_GCF_024494485	seq15_GCF_900637545	seq16_GCF_004804395	seq16_GCF_009664715	seq16_GCF_017743055	seq16_GCF_024494485	seq16_GCF_900637545	seq17_GCF_015137655	seq17_GCF_016755935	seq17_GCF_017743055	seq17_GCF_024494485	seq17_GCF_900637545	seq18_GCF_015137655	seq18_GCF_016755995	seq18_GCF_017743055	seq18_GCF_024494485	seq18_GCF_900637545	seq19_GCF_015137655	seq19_GCF_016756075	seq19_GCF_017743055	seq19_GCF_024494485	seq19_GCF_900637545	seq1_GCF_000015365	seq1_GCF_000277125	seq1_GCF_002157225	seq1_GCF_002499975	seq1_GCF_002688605	seq1_GCF_003122365	seq1_GCF_003568845	seq1_GCF_003594935	seq1_GCF_003856495	seq1_GCF_004804375	seq1_GCF_007289895	seq1_GCF_014656565	seq1_GCF_016865235	seq1_GCF_019334425	seq1_GCF_024112375	seq1_GCF_024496085	seq1_GCF_025118245	seq20_GCF_015137655	seq20_GCF_016756095	seq20_GCF_017743055	seq20_GCF_024494485	seq20_GCF_900637545	seq21_GCF_015137655	seq21_GCF_016756115	seq21_GCF_017743055	seq21_GCF_024494485	seq22_GCF_015137655	seq22_GCF_016756135	seq22_GCF_017743055	seq22_GCF_025853855	seq23_GCF_015137655	seq23_GCF_016756155	seq23_GCF_017743055	seq23_GCF_025853855	seq24_GCF_015137655	seq24_GCF_016756175	seq24_GCF_017743055	seq24_GCF_025853855	seq25_GCF_016756195	seq25_GCF_017743055	seq25_GCF_019046905	seq25_GCF_025853855	seq26_GCF_016756215	seq26_GCF_017743055	seq26_GCF_019046905	seq26_GCF_025853855	seq27_GCF_016756235	seq27_GCF_017743055	seq27_GCF_019046905	seq27_GCF_025853855	seq28_GCF_016756255	seq28_GCF_017743055	seq28_GCF_019046905	seq28_GCF_025853855	seq29_GCF_016755915	seq29_GCF_019046905	seq29_GCF_019968665	seq2_GCF_000015365	seq2_GCF_000277145	seq2_GCF_002157225	seq2_GCF_002499975	seq2_GCF_002688605	seq2_GCF_003122365	seq2_GCF_003568845	seq2_GCF_003594935	seq2_GCF_003856495	seq2_GCF_004804375	seq2_GCF_007289895	seq2_GCF_014656565	seq2_GCF_016865235	seq2_GCF_019334425	seq2_GCF_024112375	seq2_GCF_024496085	seq2_GCF_025118245	seq30_GCF_019046905	seq30_GCF_019968665	seq30_GCF_020736005	seq31_GCF_019046905	seq31_GCF_019968665	seq31_GCF_020412405	seq32_GCF_019046905	seq32_GCF_019968665	seq32_GCF_020412425	seq33_GCF_019968665	seq33_GCF_020042625	seq33_GCF_021183745	seq34_GCF_019968665	seq34_GCF_020042625	seq34_GCF_021183765	seq35_GCF_019968665	seq35_GCF_020042625	seq35_GCF_021183785	seq36_GCF_019968665	seq36_GCF_020042625	seq36_GCF_023278445	seq37_GCF_019968665	seq37_GCF_020042625	seq37_GCF_023278465	seq38_GCF_019968665	seq38_GCF_020042625	seq38_GCF_023278485	seq39_GCF_019968665	seq39_GCF_020042625	seq39_GCF_023278505	seq3_GCF_000015365	seq3_GCF_000298095	seq3_GCF_002157225	seq3_GCF_002499975	seq3_GCF_002688605	seq3_GCF_003122365	seq3_GCF_003568845	seq3_GCF_003594935	seq3_GCF_003856495	seq3_GCF_004804375	seq3_GCF_007289895	seq3_GCF_014656565	seq3_GCF_019334425	seq3_GCF_024112375	seq3_GCF_024496085	seq3_GCF_025118245	seq40_GCF_019968665	seq40_GCF_020042625	seq40_GCF_023278525	seq41_GCF_019968665	seq41_GCF_020097235	seq41_GCF_900116695	seq42_GCF_019968665	seq42_GCF_020097235	seq43_GCF_020097235	seq43_GCF_022811825	seq44_GCF_020097235	seq44_GCF_022811825	seq45_GCF_020097235	seq45_GCF_022811825	seq46_GCF_020097235	seq46_GCF_022811825	seq47_GCF_020097235	seq47_GCF_022811825	seq48_GCF_020097235	seq48_GCF_022811825	seq49_GCF_020099235	seq49_GCF_022811825	seq4_GCF_000284615	seq4_GCF_000418535	seq4_GCF_002499975	seq4_GCF_002688605	seq4_GCF_003122365	seq4_GCF_003568845	seq4_GCF_003594935	seq4_GCF_003856495	seq4_GCF_004804375	seq4_GCF_007289895	seq4_GCF_014656565	seq4_GCF_019334425	seq4_GCF_024112375	seq4_GCF_024496085	seq4_GCF_025118245	seq50_GCF_020099235	seq50_GCF_022811825	seq51_GCF_020099235	seq51_GCF_022811825	seq52_GCF_020099235	seq52_GCF_022811825	seq53_GCF_020099235	seq53_GCF_022811825	seq54_GCF_020099235	seq54_GCF_022811825	seq55_GCF_020099235	seq55_GCF_022811825	seq56_GCF_020099235	seq56_GCF_022811825	seq57_GCF_020099255	seq57_GCF_022811825	seq58_GCF_020099255	seq59_GCF_020099255	seq5_GCF_000284615	seq5_GCF_001750065	seq5_GCF_002688605	seq5_GCF_003122365	seq5_GCF_003568845	seq5_GCF_003594935	seq5_GCF_003856495	seq5_GCF_004804375	seq5_GCF_007289895	seq5_GCF_014656565	seq5_GCF_019334425	seq5_GCF_024112375	seq5_GCF_024496085	seq60_GCF_020099255	seq61_GCF_020099255	seq62_GCF_020099255	seq63_GCF_020099255	seq64_GCF_020099255	seq65_GCF_023374275	seq66_GCF_023374275	seq67_GCF_023374275	seq68_GCF_023374275	seq69_GCF_023374275	seq6_GCF_000284615	seq6_GCF_002166795	seq6_GCF_002688605	seq6_GCF_003122365	seq6_GCF_003568845	seq6_GCF_003594935	seq6_GCF_003856495	seq6_GCF_004804375	seq6_GCF_007289895	seq6_GCF_014656565	seq6_GCF_019334425	seq6_GCF_024112375	seq70_GCF_023374275	seq71_GCF_023374275	seq72_GCF_023374275	seq73_GCF_900324475	seq74_GCF_900324475	seq75_GCF_900324475	seq76_GCF_900324475	seq77_GCF_900324475	seq78_GCF_900324475	seq79_GCF_900324475	seq7_GCF_002148175	seq7_GCF_002688605	seq7_GCF_003568845	seq7_GCF_003594935	seq7_GCF_004804375	seq7_GCF_014656565	seq7_GCF_019334425	seq7_GCF_024112375	seq80_GCF_900324475	seq8_GCF_002148195	seq8_GCF_002688605	seq8_GCF_003594935	seq8_GCF_004804375	seq8_GCF_014792105	seq8_GCF_019334425	seq8_GCF_024112375	seq9_GCF_002285675	seq9_GCF_002688605	seq9_GCF_004804395	seq9_GCF_014792105	seq9_GCF_019334425	seq9_GCF_024112375
seq10_GCF_002285695.1_Mycobacterium	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
seq10_GCF_002688605.1_Priestia	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
seq11_GCF_900637545.1_Aeromonas	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1
seq1_GCF_000015365.1_Marinobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1_GCF_002157225.2_Agarilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1_GCF_002499975.2_Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1_GCF_003122365.1_Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1_GCF_003568845.1_Indioceanicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1_GCF_003856495.1_Staphylospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1_GCF_007289895.1_Catenovulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
