total_div,gcf,number_16s,genus,n_species
0.0,GCF_003330725.1,1,Acidisarcina,1
0.0,GCF_000022565.1,1,Acidobacterium,1
0.0,GCF_014274465.1,1,Alloacidobacterium,1
0.0,GCF_010093025.1,1,Edaphobacter,4
0.0,GCF_014274685.1,1,Edaphobacter,4
0.0,GCF_025264645.1,1,Edaphobacter,4
0.0,GCF_025264665.1,1,Edaphobacter,4
0.0,GCF_000178955.2,1,Granulicella,4
0.0,GCF_000178975.2,1,Granulicella,4
0.0,GCF_009914315.1,1,Granulicella,4
0.0,GCF_014083945.1,1,Granulicella,4
0.0,GCF_025264625.1,1,Occallatibacter,1
0.0,GCF_000179915.2,1,Terriglobus,3
0.0,GCF_008000815.1,1,Terriglobus,3
0.0,GCF_000265425.1,2,Terriglobus,3
0.693147180559945,GCF_015277775.1,2,Paludibaculum,1
0.0,GCF_000226295.1,1,Chloracidobacterium,10
0.0,GCF_018304665.1,1,Chloracidobacterium,10
0.0,GCF_018304685.1,1,Chloracidobacterium,10
0.0,GCF_018304765.1,1,Chloracidobacterium,10
0.0,GCF_018304745.1,1,Chloracidobacterium,10
0.0,GCF_018304805.1,1,Chloracidobacterium,10
0.0,GCF_018304785.1,1,Chloracidobacterium,10
0.0,GCF_018304705.1,1,Chloracidobacterium,10
0.0,GCF_018304825.1,1,Chloracidobacterium,10
0.0,GCF_018304725.1,1,Chloracidobacterium,10
1.90954250488444,GCF_017498545.1,3,Sulfidibacter,1
0.0,GCF_016592575.1,2,Thermotomaculum,1
0.0,GCF_001618865.1,1,Luteitalea,2
0.0,GCF_016865485.1,1,Luteitalea,2
0.0,GCF_000008625.1,2,Aquifex,1
0.0,GCF_000010785.1,1,Hydrogenobacter,2
0.0,GCF_000164905.1,1,Hydrogenobacter,2
0.693147180559945,GCF_000213785.1,2,Hydrogenobaculum,4
1.38629436111989,GCF_000215065.1,2,Hydrogenobaculum,4
2.77258872223978,GCF_000341855.1,2,Hydrogenobaculum,4
1.38629436111989,GCF_000348765.2,2,Hydrogenobaculum,4
0.0,GCF_000025605.1,1,Thermocrinis,2
0.0,GCF_000512735.1,1,Thermocrinis,2
0.0,GCF_001547735.1,1,Thermosulfidibacter,1
0.0,GCF_000021565.1,2,Persephonella,1
2.77258872223978,GCF_000021545.1,2,Sulfurihydrogenibium,1
0.0,GCF_000191045.1,2,Desulfurobacterium,1
2.54605667317925,GCF_000185805.1,3,Thermovibrio,1
0.693147180559945,GCF_015775515.1,2,Atribacter,1
0.0,GCF_000284335.1,1,Caldisericum,1
0.0,GCF_001886815.1,1,Caldithrix,1
1.27302833658963,GCF_000177635.2,3,Desulfurispirillum,2
1.90954250488444,GCF_020520145.1,3,Desulfurispirillum,2
0.693147180559945,GCF_000183405.1,2,Calditerrivibrio,1
0.693147180559945,GCF_000010985.1,2,Deferribacter,1
0.0,GCF_000218625.1,2,Flexistipes,1
0.693147180559945,GCF_000025725.1,2,Denitrovibrio,1
0.0,GCF_004087915.1,2,Geovibrio,1
0.0,GCF_000487995.2,3,Mucispirillum,1
0.693147180559945,GCF_000020965.1,2,Dictyoglomus,2
0.0,GCF_000021645.1,2,Dictyoglomus,2
0.0,GCF_000020145.1,1,Elusimicrobium,1
0.0,GCF_001027545.1,1,Endomicrobium,1
0.636514168294813,GCF_003353065.1,3,Cyclonatronum,1
0.0,GCF_000013045.1,1,Salinibacter,14
0.0,GCF_003491405.1,1,Salinibacter,14
0.0,GCF_003491185.1,1,Salinibacter,14
0.0,GCF_003491205.1,1,Salinibacter,14
0.0,GCF_003491385.1,1,Salinibacter,14
0.0,GCF_000090405.2,1,Salinibacter,14
0.0,GCF_003491425.1,1,Salinibacter,14
0.0,GCF_003290325.1,1,Salinibacter,14
0.693147180559945,GCF_008001035.1,2,Salinibacter,14
3.46573590279973,GCF_011751865.2,2,Salinibacter,14
0.0,GCF_003065485.1,2,Salinibacter,14
1.90954250488444,GCF_019443965.1,3,Salinibacter,14
0.0,GCF_004118935.1,2,Salinibacter,14
0.0,GCF_011751885.2,2,Salinibacter,14
0.0,GCF_000024845.1,1,Rhodothermus,4
0.0,GCF_000224745.1,1,Rhodothermus,4
0.0,GCF_009936255.1,1,Rhodothermus,4
0.0,GCF_009936275.1,1,Rhodothermus,4
0.0,GCF_000724795.2,6,Bacteroides,109
38.27647567294,GCF_001314995.1,5,Bacteroides,109
0.0,GCF_000025985.1,6,Bacteroides,109
6.23155364683909,GCF_001314975.1,5,Bacteroides,109
3.35246987826946,GCF_000724815.2,6,Bacteroides,109
3.06478780581768,GCF_000009925.1,6,Bacteroides,109
13.9973257777581,GCF_000186225.1,5,Bacteroides,109
11.5328446521747,GCF_000710375.2,6,Bacteroides,109
20.4328560562544,GCF_000011065.1,5,Bacteroides,109
5.43537688580559,GCF_000710365.2,6,Bacteroides,109
10.139530390674,GCF_000724665.2,6,Bacteroides,109
4.64752049260324,GCF_000724805.2,6,Bacteroides,109
7.08627949636327,GCF_000210835.1,6,Bacteroides,109
0.0,GCF_001286525.1,6,Bacteroides,109
2.49539201602516,GCF_001682215.1,6,Bacteroides,109
13.2088834314932,GCF_001318345.1,4,Bacteroides,109
8.27403244127784,GCF_000965785.1,6,Bacteroides,109
2.17421893762382,GCF_001688725.2,5,Bacteroides,109
0.0,GCF_002222615.2,5,Bacteroides,109
0.0,GCF_002849695.1,6,Bacteroides,109
11.1814625613112,GCF_006546965.1,5,Bacteroides,109
3.50281696476732,GCF_009734165.1,5,Bacteroides,109
0.0,GCF_004328515.1,4,Bacteroides,109
0.0,GCF_005706655.1,6,Bacteroides,109
0.0,GCF_003363675.2,4,Bacteroides,109
0.0,GCF_002998435.1,4,Bacteroides,109
0.562335144618808,GCF_002998535.1,4,Bacteroides,109
3.33988142149264,GCF_004115325.2,6,Bacteroides,109
5.79911083801906,GCF_009193325.2,5,Bacteroides,109
0.0,GCF_006742345.1,4,Bacteroides,109
3.84803545170945,GCF_007012325.1,5,Bacteroides,109
0.450561208866305,GCF_011038705.2,6,Bacteroides,109
2.25280604433152,GCF_008369705.1,6,Bacteroides,109
0.500402423538188,GCF_009193295.2,5,Bacteroides,109
9.87028984104272,GCF_012113595.1,5,Bacteroides,109
3.67371113997239,GCF_013267555.1,6,Bacteroides,109
0.562335144618808,GCF_013874375.1,4,Bacteroides,109
24.8492535462202,GCF_014131755.1,5,Bacteroides,109
0.0,GCF_016864215.1,5,Bacteroides,109
1.68700543385642,GCF_015679285.1,4,Bacteroides,109
2.84723060463308,GCF_016726305.1,5,Bacteroides,109
0.562335144618808,GCF_018289295.1,4,Bacteroides,109
5.94257110693702,GCF_016864615.1,6,Bacteroides,109
0.0,GCF_016889745.1,5,Bacteroides,109
4.50561208866305,GCF_016889925.1,6,Bacteroides,109
4.53847242559373,GCF_018289135.1,5,Bacteroides,109
0.0,GCF_017309675.2,4,Bacteroides,109
6.36747287627541,GCF_018289275.1,5,Bacteroides,109
0.0,GCF_018279805.1,5,Bacteroides,109
3.84803545170945,GCF_018291825.1,5,Bacteroides,109
1.00080484707638,GCF_018289035.1,5,Bacteroides,109
1.9486295057387,GCF_018289175.1,4,Bacteroides,109
4.32878212015507,GCF_018291785.1,4,Bacteroides,109
1.12467028923762,GCF_018289375.1,4,Bacteroides,109
0.0,GCF_018291945.1,5,Bacteroides,109
3.52024227164233,GCF_018292045.1,5,Bacteroides,109
3.98898404656427,GCF_018292185.1,6,Bacteroides,109
1.68700543385642,GCF_018292125.1,4,Bacteroides,109
0.562335144618808,GCF_018292165.1,4,Bacteroides,109
0.0,GCF_018292205.1,5,Bacteroides,109
0.673011667009257,GCF_020091545.1,5,Bacteroides,109
6.71269136321755,GCF_019930665.1,5,Bacteroides,109
1.17341409054744,GCF_020091505.1,5,Bacteroides,109
9.35246211062952,GCF_019857385.1,5,Bacteroides,109
9.35246211062952,GCF_019896115.1,5,Bacteroides,109
16.3580960401641,GCF_020091305.1,5,Bacteroides,109
0.0,GCF_020091345.1,5,Bacteroides,109
1.12467028923762,GCF_020091405.1,4,Bacteroides,109
12.0619340855416,GCF_020091485.1,5,Bacteroides,109
5.88449575961224,GCF_020091385.1,5,Bacteroides,109
26.4026389499571,GCF_020091525.1,5,Bacteroides,109
1.35168362659891,GCF_020091565.1,6,Bacteroides,109
0.0,GCF_020097275.1,6,Bacteroides,109
0.0,GCF_020550085.1,4,Bacteroides,109
0.0,GCF_021359565.1,6,Bacteroides,109
0.0,GCF_021359585.1,6,Bacteroides,109
12.5100605884547,GCF_022453665.1,5,Bacteroides,109
1.50120727061456,GCF_024759205.1,5,Bacteroides,109
0.0,GCF_023702735.1,6,Bacteroides,109
2.24934057847523,GCF_024758225.1,4,Bacteroides,109
3.19244909157521,GCF_024758865.1,5,Bacteroides,109
13.824716534287,GCF_024759125.1,5,Bacteroides,109
4.67623105531476,GCF_024758345.1,5,Bacteroides,109
2.84723060463308,GCF_024758405.1,5,Bacteroides,109
0.673011667009257,GCF_024758425.1,5,Bacteroides,109
8.50684120014919,GCF_024759405.1,5,Bacteroides,109
4.7110816690648,GCF_024758905.1,5,Bacteroides,109
0.673011667009257,GCF_024759225.1,5,Bacteroides,109
2.17421893762382,GCF_024759245.1,5,Bacteroides,109
40.9701661662562,GCF_024759365.1,5,Bacteroides,109
0.0,GCF_024759505.1,5,Bacteroides,109
4.02064469518052,GCF_024759765.1,5,Bacteroides,109
4.02064469518052,GCF_024759785.1,5,Bacteroides,109
0.0,GCF_024760085.1,4,Bacteroides,109
10.0080484707638,GCF_024760065.1,5,Bacteroides,109
20.3961660422197,GCF_024759965.1,5,Bacteroides,109
0.500402423538188,GCF_024760145.1,5,Bacteroides,109
3.93634601233166,GCF_025146565.1,4,Bacteroides,109
15.1846819496167,GCF_024760245.1,5,Bacteroides,109
0.500402423538188,GCF_025146315.1,5,Bacteroides,109
0.0,GCF_024760225.1,5,Bacteroides,109
32.8592733358979,GCF_024799845.1,5,Bacteroides,109
3.01983984810415,GCF_025147325.1,5,Bacteroides,109
0.500402423538188,GCF_025147085.1,5,Bacteroides,109
34.4074339012889,GCF_025146775.1,5,Bacteroides,109
0.562335144618808,GCF_025147485.1,4,Bacteroides,109
1.68700543385642,GCF_025263845.1,4,Bacteroides,109
41.4514994576402,GCF_900095495.1,5,Bacteroides,109
3.86546075858447,GCF_918258265.1,5,Bacteroides,109
7.11941886782787,GCF_018289355.1,7,Phocaeicola,22
2.05058159144204,GCF_024022975.1,7,Phocaeicola,22
0.0,GCF_013009555.1,7,Phocaeicola,22
0.0,GCF_020885715.1,7,Phocaeicola,22
8.15262709562154,GCF_000012825.1,7,Phocaeicola,22
0.0,GCF_001640865.1,7,Phocaeicola,22
4.34014519160144,GCF_008728395.1,7,Phocaeicola,22
24.7227232491895,GCF_000190575.1,6,Phocaeicola,22
0.0,GCF_013009675.1,7,Phocaeicola,22
1.00838590687367,GCF_013010255.1,7,Phocaeicola,22
0.0,GCF_013009875.1,7,Phocaeicola,22
1.00838590687367,GCF_013010365.1,7,Phocaeicola,22
0.0,GCF_020885775.1,7,Phocaeicola,22
0.0,GCF_013010095.1,7,Phocaeicola,22
3.54890820393513,GCF_020091465.1,6,Phocaeicola,22
0.0,GCF_018292105.1,7,Phocaeicola,22
0.0,GCF_016888945.1,7,Phocaeicola,22
0.0,GCF_020885855.1,7,Phocaeicola,22
12.3149366773562,GCF_024758205.1,7,Phocaeicola,22
5.65327538524125,GCF_024759565.1,7,Phocaeicola,22
7.15711671565407,GCF_025146415.1,7,Phocaeicola,22
53.0970738080085,GCF_902387545.1,7,Phocaeicola,22
6.64473174849939,GCF_000512915.1,5,Barnesiella,1
0.0,GCF_015097275.1,5,Coprobacter,1
0.562335144618808,GCF_011299335.1,4,Dysgonomonas,2
1.25548232517875,GCF_011299555.1,4,Dysgonomonas,2
0.693147180559945,GCF_900095795.1,2,Petrimonas,1
1.38629436111989,GCF_022267555.1,2,Proteiniphilum,2
0.0,GCF_900095135.1,2,Proteiniphilum,2
4.49868115695047,GCF_005304985.1,4,Duncaniella,1
4.06715804827279,GCF_001688845.2,4,Muribaculum,1
4.76030522883274,GCF_009676955.1,4,Sodaliphilus,1
9.21470348090849,GCF_003991565.1,5,Butyricimonas,3
12.0793593924166,GCF_016889065.1,5,Butyricimonas,3
11.0437039315902,GCF_025148635.1,5,Butyricimonas,3
7.31035688004451,GCF_000190535.1,4,Odoribacter,2
6.70893473457144,GCF_900187175.1,4,Odoribacter,2
0.0,GCF_000183135.1,3,Paludibacter,4
0.598269588585257,GCF_018802645.1,7,Paludibacter,4
0.376770161256437,GCF_018802605.1,8,Paludibacter,4
0.598269588585257,GCF_018802765.1,7,Paludibacter,4
0.0,GCF_003931875.1,1,Microbacter,69
0.0,GCF_003850245.1,1,Microbacter,69
0.0,GCF_001974985.1,1,Microbacter,69
0.0,GCF_003856715.1,2,Microbacter,69
0.0,GCF_001975955.2,2,Microbacter,69
5.54517744447956,GCF_002993305.1,2,Microbacter,69
0.0,GCF_002356155.1,2,Microbacter,69
0.693147180559945,GCF_000202635.1,2,Microbacter,69
0.0,GCF_001266755.1,2,Microbacter,69
0.0,GCF_001314225.1,2,Microbacter,69
0.0,GCF_001792815.1,3,Microbacter,69
0.0,GCF_001513675.1,2,Microbacter,69
0.0,GCF_001652465.1,2,Microbacter,69
0.0,GCF_001887285.1,2,Microbacter,69
0.0,GCF_001558975.1,2,Microbacter,69
18.7149738751185,GCF_002843965.1,2,Microbacter,69
0.0,GCF_001889265.1,2,Microbacter,69
0.0,GCF_003367705.1,2,Microbacter,69
0.0,GCF_003991855.1,2,Microbacter,69
0.0,GCF_004000565.1,2,Microbacter,69
0.0,GCF_003991875.1,2,Microbacter,69
0.0,GCF_011046975.1,2,Microbacter,69
0.0,GCF_004135285.1,2,Microbacter,69
0.0,GCF_011751765.2,2,Microbacter,69
0.0,GCF_004564075.1,2,Microbacter,69
0.0,GCF_004564355.1,2,Microbacter,69
0.0,GCF_013282805.1,3,Microbacter,69
0.0,GCF_005347485.1,2,Microbacter,69
0.0,GCF_008727755.1,2,Microbacter,69
0.0,GCF_005491085.2,2,Microbacter,69
0.0,GCF_011047135.1,2,Microbacter,69
0.0,GCF_006385575.1,2,Microbacter,69
1.38629436111989,GCF_008271365.1,2,Microbacter,69
0.0,GCF_011046485.1,2,Microbacter,69
0.0,GCF_008727775.1,2,Microbacter,69
0.0,GCF_011751745.2,2,Microbacter,69
0.693147180559945,GCF_013389665.1,2,Microbacter,69
0.0,GCF_015565955.1,1,Microbacter,69
1.38629436111989,GCF_014171575.1,2,Microbacter,69
0.0,GCF_014725695.1,2,Microbacter,69
0.0,GCF_017968845.1,1,Microbacter,69
0.0,GCF_014725715.1,2,Microbacter,69
0.0,GCF_015277815.1,2,Microbacter,69
0.0,GCF_015040615.1,2,Microbacter,69
0.0,GCF_015277855.1,2,Microbacter,69
0.0,GCF_019056515.1,2,Microbacter,69
4.85203026391962,GCF_015277895.1,2,Microbacter,69
