,genus,species,family,order,class,phylum,domain,NCBI tax ID,motility,gram stain,growth,GC-content,oxygen tolerance,Total samples,soil counts,aquatic counts,plant counts,PH range,optimum,antibiotics,lincomycin,novobiocin,kanamycin,ampicillin,gentamicin,neomycin,streptomycin,chloramphenicol,rifampicin,polymyxin b,erythromycin,bacitracin,penicillin,tetracycline,aztreonam,cefalotin,cefazolin,cefotaxime,fosfomycin,imipenem,linezolid,mezlocillin,moxifloxacin,nitrofurantoin,norfloxacin,nystatin,ofloxacin,oxacillin,penicillin g,pipemidic acid,ticarcillin
0,Acidisarcina,Acidisarcina polymorpha,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,2211140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium ailaaui,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,1382359.0,no,negative,40.0,55.46666666666667,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium capsulatum,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium sp.,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium sp.,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,,,157.0,150.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium sp.,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium capsulatum,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,240015.0,,,30.0,60.0,,14423.0,2976.0,835.0,434.0,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Alloacidobacterium,Alloacidobacterium dinghuense,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,2763107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter bradus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,2259016.0,no,negative,,59.6,aerobe,,,,,acidophile,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter lichenicola,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,2051959.0,no,negative,25.0,54.70,obligate aerobe,,,,,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter acidisoli,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,2040573.0,no,negative,28.0,57.6,aerobe,136.0,120.0,1.0,12.0,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter dinghuensis,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,1560005.0,no,negative,28.0,57.7,aerobe,,,,,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter aggregans,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,1121860.0,no,negative,,56.9,,305.0,270.0,11.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter modestus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,388466.0,,,,55.8,,657.0,528.0,12.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella sibirica,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,2479048.0,no,negative,25.0,59.8,aerobe,,,,,acidophile,,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella acidiphila,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,62.1,,1188.0,1001.0,71.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella cerasi,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,741063.0,,,,61.2,,2884.0,1378.0,327.0,651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella tundricola,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,1198114.0,no,negative,21.25,59.9,aerobe,5501.0,3260.0,683.0,1067.0,acidophile,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella sapmiensis,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,no,negative,21.25,56.0,aerobe,22.0,13.0,3.0,3.0,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella mallensis,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,682795.0,no,negative,22.75,57.8,aerobe,263.0,145.0,49.0,12.0,acidophile,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella arctica,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,940613.0,no,negative,21.25,57.5,aerobe,10.0,10.0,,,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella paludicola,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,474951.0,no,negative,20.0,57.4,obligate aerobe,,,,,acidophile,,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella aggregans,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,474949.0,no,negative,20.0,59.3,obligate aerobe,,,,,acidophile,,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella pectinivorans,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,474950.0,no,negative,20.0,59.1,obligate aerobe,22.0,13.0,3.0,3.0,acidophile,,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,
0,Granulicella,Granulicella rosea,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,474952.0,no,negative,20.0,58.3,obligate aerobe,,,,,acidophile,,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,
0,Occallatibacter,Occallatibacter savannae,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,yes,negative,28.0,58.5,obligate aerobe,32.0,21.0,,11.0,acidophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Occallatibacter,Occallatibacter riparius,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Occallatibacter,Occallatibacter riparius,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,1002689.0,yes,negative,28.0,59.6,obligate aerobe,,,,,alkaliphile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus sp.,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,278961.0,,,,,,972.0,518.0,63.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus albidus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,1592106.0,,,,58.5,,984.0,741.0,51.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus aquaticus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,940139.0,no,negative,25.0,63.2,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus tenax,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,62.1,,912.0,436.0,71.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus sp.,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,,,,,,,972.0,518.0,63.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus saanensis,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,401053.0,no,negative,16.333333333333332,57.3,aerobe,857.0,550.0,94.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Terriglobus,Terriglobus roseus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,926566.0,no,,14.5,59.8,,579.0,250.0,44.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Paludibaculum,Paludibaculum fermentans,Bryobacteraceae,Bryobacterales,Acidobacteriia,Acidobacteriota,Bacteria,1473598.0,,,,60.5,microaerophile,335.0,159.0,136.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Chloracidobacterium,Chloracidobacterium thermophilum,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteriota,Bacteria,981222.0,,,,61.3,,62.0,4.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thermotomaculum,Thermotomaculum hydrothermale,Thermotomaculaceae,Thermotomaculales,Holophagae,Acidobacteriota,Bacteria,981385.0,,,55.0,51.6,anaerobe,43.0,2.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Luteitalea,Luteitalea pratensis,Vicinamibacteraceae,Vicinamibacterales,Vicinamibacteria,Acidobacteriota,Bacteria,1855912.0,no,negative,,64.7,aerobe,543.0,353.0,44.0,56.0,,28.0,R,,,,R,,R,,R,,,R,,,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
0,Aquifex,Aquifex sp.,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Aquifex,Aquifex pyrophilus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,85.0,40.25,,270.0,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogenobacter,Hydrogenobacter halophilus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogenobacter,Hydrogenobacter sp.,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogenobacter,Hydrogenobacter subterraneus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,,44.7,,203.0,2.0,181.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogenobacter,Hydrogenobacter thermophilus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,608538.0,no,negative,64.25,43.7,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogenobacter,Hydrogenobacter hydrogenophilus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,35835.0,,,75.0,41.0,,26.0,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogenobaculum,Hydrogenobaculum acidophilum,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,65.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thermocrinis,Thermocrinis jamiesonii,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,1313265.0,,,80.0,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thermocrinis,Thermocrinis minervae,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,381751.0,yes,negative,75.0,40.3,microaerophile,58.0,3.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thermocrinis,Thermocrinis albus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,638303.0,,,80.0,49.6,microaerophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
