"GCF_019175365.1";"GCF_023614255.1";"GCF_023614275.1";"GCF_008824145.1";"GCF_013364275.1"
"graeca";1;0;0;0;0
"madurae";0;1;1;0;0
"madurae";0;1;1;0;0
"sp.";0;0;0;1;0
"sp.";0;0;0;0;1
