,genus,species,NCBI tax ID,motility,gram stain,range,optimum,GC-content,oxygen tolerance,Total samples,soil counts,aquatic counts,plant counts,metabolite,is antibiotic,is resistant
0,Acidisarcina,Acidisarcina polymorpha,2211140,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium ailaaui,"[1382359, 1382359]",no,negative,40,40,"['57.2', '56.5', '52.7']",aerobe,,,,,,,
0,Acidobacterium,Acidobacterium capsulatum,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium sp.,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium sp.,,,,,,,,157.0,150.0,1.0,3.0,,,
0,Acidobacterium,Acidobacterium sp.,,,,,,,,,,,,,,
0,Acidobacterium,Acidobacterium capsulatum,"[240015, 240015, 240015, 240015, 1340493]",,,30,,"['59.9-60.8', '60']",,14423.0,2976.0,835.0,434.0,,,
0,Alloacidobacterium,Alloacidobacterium dinghuense,2763107,,,,,,,,,,,,,
0,Edaphobacter,Edaphobacter bradus,2259016,"['no', 'no']","['negative', 'negative']",28,28,"['59.60', '59.6']","['aerobe', 'aerobe']",,,,,,,
0,Edaphobacter,Edaphobacter lichenicola,"[2051959, 156588, 592834]",no,negative,7-37,20-30,54.70,obligate aerobe,,,,,,,
0,Edaphobacter,Edaphobacter acidisoli,"[2040573, 2040573, 2040573, 157472]",no,negative,10-42,28,57.6,aerobe,136.0,120.0,1.0,12.0,,,
0,Edaphobacter,Edaphobacter dinghuensis,"[1560005, 1560005, 1560005, 2517205]",no,negative,28,28-33,57.7,aerobe,,,,,,,
0,Edaphobacter,Edaphobacter aggregans,"[1121860, 1121860, 1121860, 195049]",no,negative,15-25,30,"['56.9', '56.9']",,305.0,270.0,11.0,19.0,,,
0,Edaphobacter,Edaphobacter modestus,"[388466, 388466, 388466, 2306012]",,,25,30,55.8,,657.0,528.0,12.0,35.0,,,
0,Granulicella,Granulicella sibirica,"[2479048, 2479048]",no,negative,2-30,,59.8,aerobe,,,,,"['lincomycin', 'novobiocin', 'kanamycin', 'ampicillin', 'gentamicin', 'neomycin', 'streptomycin', 'chloramphenicol']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes']"
0,Granulicella,Granulicella acidiphila,,,,,,62.1,,1188.0,1001.0,71.0,17.0,,,
0,Granulicella,Granulicella cerasi,741063,,,,,61.2,,2884.0,1378.0,327.0,651.0,,,
