"GCF_025140295.1";"GCF_000011965.2";"GCF_018972145.1";"GCF_000014065.1";"GCF_003443535.1";"GCF_009363615.1";"GCF_019904295.1";"GCF_024628725.1";"GCF_025141855.1"
"conchae";1;0;0;0;0;0;1;0;0
"pomeroyi";0;1;1;0;0;0;0;0;0
"pomeroyi";0;1;1;0;0;0;0;0;0
"sp.";0;0;0;1;0;0;0;0;0
"sp.";0;0;0;0;1;0;0;1;0
"sp.";0;0;0;0;0;1;0;0;0
"sp.";1;0;0;0;0;0;1;0;0
"sp.";0;0;0;0;1;0;0;1;0
"sp.";0;0;0;0;0;0;0;0;1
